[{w0: 283, w1: 79, x: -15, y: -6, z: 3}]
[{w0: -335, w1: 37, x: 2, y: -9, z: -3}]
[{w0: 355, w1: 826, x: 6, y: 9, z: -8}]
[{w0: -50, w1: 73, x: 2, y: 6, z: 1}]
[{w0: -203, w1: 3505, x: 0, y: -3, z: 17}]
[{w0: 182, w1: 1065, x: 5, y: 7, z: 9}]
[{w0: -203, w1: -14, x: 0, y: -3, z: 0}]
[{w0: -689, w1: 826, x: -6, y: 9, z: -8}]
[{w0: -393, w1: 1487, x: -28, y: -1, z: 11}]
[{w0: -498, w1: 80, x: -10, y: 2, z: 2}]
[{w0: 205, w1: 601, x: 10, y: 3, z: -7}]
[{w0: -302, w1: 262, x: -2, y: 6, z: 4}]
[{w0: 101, w1: 215, x: -5, y: -10, z: -5}]
[{w0: 323, w1: -64, x: -5, y: -16, z: 2}]
[{w0: 249, w1: -60, x: -5, y: -14, z: -2}]
[{w0: 111, w1: 66, x: 4, y: 7, z: 0}]
[{w0: 1001, w1: 1301, x: -11, y: -16, z: -11}]
[{w0: -148, w1: 44, x: 7, y: -1, z: -2}]
[{w0: -497, w1: 178, x: -2, y: 21, z: 0}]
[{w0: -218, w1: 1421, x: -3, y: -1, z: -11}]
[{w0: 914, w1: 7571, x: 7, y: 17, z: -25}]
[{w0: -528, w1: 1011, x: -5, y: 7, z: -9}]
[{w0: -281, w1: 35, x: -3, y: 2, z: -1}]
[{w0: -444, w1: 2045, x: 14, y: -4, z: 13}]
[{w0: -183, w1: 1766, x: 2, y: -1, z: 12}]
[{w0: -196, w1: 603, x: -4, y: -2, z: 7}]
[{w0: 46, w1: 325, x: 16, y: 0, z: 5}]
[{w0: -209, w1: 3529, x: -1, y: 0, z: 17}]
[{w0: 67, w1: 1559, x: 3, y: 8, z: 11}]
[{w0: -863, w1: 649, x: -8, y: 9, z: -7}]
[{w0: -197, w1: 1694, x: 0, y: -1, z: -12}]
[{w0: -124, w1: 50, x: 1, y: 5, z: 0}]
[{w0: -211, w1: 17, x: -2, y: -1, z: 1}]
[{w0: 53, w1: 1212, x: 5, y: 4, z: -10}]
[{w0: -137, w1: 954, x: 0, y: 19, z: 8}]
[{w0: -599, w1: 1485, x: -6, y: 7, z: -11}]
[{w0: -29, w1: 325, x: 11, y: 0, z: 5}]
[{w0: -767, w1: 1076, x: 6, y: -13, z: -10}]
[{w0: -205, w1: 1164, x: 5, y: -2, z: -10}]
[{w0: 45, w1: 2408, x: 2, y: 11, z: -14}]
[{w0: 288, w1: 1041, x: 10, y: 4, z: 9}]
[{w0: -1083, w1: 1131, x: -5, y: 22, z: -9}]
[{w0: 566, w1: 0, x: -16, y: -8, z: 2}]
[{w0: -2864, w1: 3106, x: -31, y: 9, z: -16}]
[{w0: 41, w1: 1049, x: 4, y: 5, z: 9}]
[{w0: -47, w1: 1276, x: 1, y: 12, z: -10}]
[{w0: -106, w1: 1001, x: 13, y: -1, z: 9}]
[{w0: -1788, w1: 312, x: 16, y: -14, z: -6}]
[{w0: -209, w1: -30, x: 0, y: -5, z: 0}]
[{w0: -141, w1: 794, x: 8, y: -1, z: 8}]
[{w0: -375, w1: 432, x: -8, y: 1, z: -6}]
[{w0: 463, w1: 1168, x: -12, y: -9, z: 10}]
[{w0: -344, w1: 59, x: -3, y: 5, z: -1}]
[{w0: -176, w1: 56, x: 3, y: -1, z: 2}]
[{w0: -658, w1: -183, x: 2, y: -26, z: 1}]
[{w0: 67, w1: 116, x: 3, y: 8, z: -2}]
[{w0: -1982, w1: 213, x: 18, y: -14, z: 5}]
[{w0: -824, w1: 715, x: -6, y: 12, z: 7}]
[{w0: -259, w1: 540, x: -1, y: 10, z: 6}]
[{w0: 646, w1: 2039, x: 15, y: 5, z: -13}]
[{w0: 790, w1: 43, x: 25, y: 3, z: -1}]
[{w0: 288, w1: 456, x: 10, y: 4, z: -6}]
[{w0: -119, w1: 52, x: 5, y: 0, z: -2}]
[{w0: 382, w1: -38, x: -18, y: -6, z: 0}]
[{w0: -128, w1: 2175, x: 0, y: 22, z: -13}]
[{w0: -148, w1: 2396, x: 7, y: -1, z: 14}]
[{w0: -176, w1: 343, x: 0, y: 6, z: -5}]
[{w0: -121, w1: 587, x: -5, y: -4, z: 7}]
[{w0: -1712, w1: 115, x: -14, y: 12, z: -1}]
[{w0: 566, w1: 3363, x: -16, y: -8, z: -17}]
